date,3years,total,class
2016,10,17,0
2016,18,57,0
2020,19,19,2
2018,28,49,0
2015,41,121,2
2019,52,52,0
2019,19,22,1
2019,9,10,0
2018,9,15,0
2018,12,27,0
2019,4,4,0
2019,5,5,0
2012,4,5,1
2019,9,9,0
2019,13,35,2
2018,10,13,0
2018,7,11,2
2018,38,47,0
2019,13,13,0
2019,0,0,0
2019,3,12,0
2018,5,6,0
2019,86,108,0
2013,10,21,0
2020,3,3,0
2013,11,23,0
2018,24,68,0
2018,52,95,1
2013,12,15,0
2018,41,68,0
2013,1,1,1
2013,30,79,0
2019,19,42,2
2018,3,4,0
2019,3,3,2
2019,7,7,0
2012,5,6,0
2019,72,99,0
2020,39,39,2
2017,44,74,0
2020,52,52,2
2018,5,8,1
2017,13,21,0
2020,26,26,0
2019,32,44,2
2012,20,49,0
2019,3,3,0
2019,32,35,0
2020,8,8,0
2017,5,13,0
2020,18,18,0
2014,6,6,2
2020,156,156,0
2017,81,223,0
2020,6,6,0
2020,9,9,0
2020,13,13,0
2014,51,115,2
2020,79,79,2
2015,41,174,2
2017,8,14,0
2020,11,15,0
2019,114,199,0
2020,25,90,2
2015,32,122,2
2017,2,2,0
2020,4,4,0
2020,17,17,0
2015,45,166,0
2020,3,3,2
2016,11,21,0
2015,13,44,0
2016,9,26,0
2020,1333,2443,1
2015,8,32,0
2019,119,326,0
2020,41,41,2
2017,6,25,0
2016,6,6,0
2020,8,13,0
2019,4,17,0
2012,9,46,0
2018,94,134,0
2020,5,5,0
2019,2,2,0
2019,12,12,0
2018,46,82,0
2018,15,22,1
2020,5,5,0
2018,47,74,2
2013,4,4,0
2018,5,7,0
2020,115,115,2
2019,10,15,2
2013,4,4,2
2012,5,6,0
2019,13,16,0
2019,8,12,0
2020,14,14,0
2018,94,155,0
2012,4,4,0
2019,6,6,0
2019,33,55,0
2018,16,23,0
2019,7,7,0
2020,14,14,2
2019,4,4,0
2012,9,13,0
2018,8,9,0
2019,1,1,0
2019,0,0,0
2020,43,85,0
2016,18,74,0
2018,23,39,0
2019,16,20,0
2018,29,41,0
2016,21,41,2
2020,10,10,1
2020,10,10,2
2019,3,3,0
2012,9,32,0
2019,334,519,1
2020,6,9,2
2013,23,101,2
2012,1,1,2
2015,10,13,0
2018,54,57,0
2013,12,26,0
2019,29,72,2
2012,9,24,0
2020,19,19,0
2019,27,27,0
2019,2,2,1
2012,55,356,0
2019,11,14,0
2013,14,29,0
2019,3,3,0
2020,7,13,2
2019,21,24,1
2019,8,10,0
2019,63,97,1
2018,10,13,2
2013,6,17,0
2018,41,59,2
2019,25,25,0
2019,15,21,2
2016,29,56,0
2020,11,12,0
2020,7,7,2
2019,6,6,0
2013,3,7,1
2018,4,4,0
2019,5,5,0
2016,7,8,0
2018,14,34,0
2020,38,38,0
2017,4,5,0
2016,6,8,0
2014,9,10,0
2020,9,9,0
2020,96,145,0
2017,31,58,0
2019,31,40,0
2016,5,19,0
2015,5,373,2
2016,39,89,0
2020,23,23,0
2016,23,85,0
2020,18,18,0
2017,11,16,0
2019,27,39,0
2020,41,41,0
2015,10,15,2
2019,5,5,0
2019,9,9,0
2020,7,7,0
2017,60,180,0
2014,6,6,0
2020,12,12,1
2017,44,68,0
2019,2,2,0
2020,5,5,0
2014,10,19,0
2015,11,31,1
2014,20,39,1
2017,16,16,0
2020,2,2,0
2014,8,11,0
2017,3,3,0
2017,29,78,0
2019,14,14,0
2016,5,19,0
2015,22,45,0
2020,65,153,0
2016,65,125,1
2019,20,28,0
2020,2,2,0
2013,27,116,0
2015,0,0,0
2016,26,75,0
2020,28,28,2
2020,20,21,2
2016,3,3,0
2020,78,159,0
2016,15,53,0
2017,14,59,0
2020,25,43,0
2017,62,152,0
2020,5,5,0
2017,17,36,0
2014,22,272,0
2017,26,38,2
2018,8,16,0
2018,2,2,0
2019,0,0,0
2013,9,15,0
2018,119,254,2
2013,2,2,0
2019,12,12,0
2014,19,91,0
2018,19,21,0
2017,28,52,0
2018,7,13,0
2012,10,37,0
2019,305,444,0
2020,2,2,0
2019,4,4,0
2019,19,28,2
2018,1,1,0
2019,7,10,0
2019,12,15,0
2019,0,0,2
2020,24,38,0
2012,6,26,1
2019,30,36,0
2013,9,29,1
2019,14,19,2
2018,73,236,0
2013,36,123,0
2019,1,1,0
2019,34,43,0
2018,14,17,0
2020,8,8,0
2013,26,138,0
2019,5,5,1
2018,9,25,0
2019,9,18,0
2013,5,5,1
2018,172,368,0
2019,31,31,0
2019,4,4,1
2018,2,2,0
2019,4,4,0
2019,182,244,0
2018,3,3,0
2020,10,10,0
2019,4,4,0
2018,2,2,0
2012,8,13,0
2019,19,19,0
2019,32,83,0
2019,27,31,0
2019,6,6,2
2017,10,15,0
2019,1,1,0
2012,19,107,0
2019,15,15,0
2012,18,44,0
2019,3,3,0
2018,33,56,2
2017,44,92,0
2020,2,2,0
2013,7,11,0
2019,2,2,0
2018,26,33,0
2019,24,27,2
2013,12,58,0
2013,0,0,0
2018,7,13,0
2013,6,8,2
2018,13,18,0
2013,5,6,0
2020,42,42,2
2017,26,39,2
2014,10,74,0
2020,11,11,0
2017,22,37,0
2020,13,13,2
2020,23,23,0
2014,14,69,0
2018,0,0,0
2015,22,39,0
2020,14,14,0
2016,10,14,0
2015,9,14,0
2020,33,58,0
2018,6,6,0
2018,11,15,0
2016,15,29,2
2018,5,7,0
