2015,23,41,1
2016,2,5,0
2018,5,7,0
2018,34,89,1
2019,53,84,0
2012,26,67,0
2012,0,3,0
2019,7,9,1
2015,27,36,1
2012,22,74,1
2019,1,1,1
2013,11,29,0
2012,3,4,0
2018,14,18,1
2019,2,3,2
2012,1,4,2
2019,9,11,0
2017,2,5,1
2016,39,120,1
2018,9,12,2
2012,16,77,2
2019,9,20,1
2013,4,7,0
2019,114,162,0
2016,4,6,0
2013,7,61,0
2019,2,2,0
2018,13,19,0
2018,27,45,1
2013,5,11,0
2019,11,14,0
2012,1,3,1
2018,4,9,0
2012,4,4,1
2012,4,4,0
2018,8,14,0
2018,4,7,1
2016,17,20,0
2019,8,9,1
2019,26,34,1
2016,3,8,0
2018,3,14,2
2015,3,3,0
2018,1,2,1
2018,12,24,1
2019,27,30,1
2012,5,8,1
2018,3,7,0
2018,6,8,0
2018,4,4,0
2015,4,10,0
2014,20,52,0
2015,22,36,2
2015,24,113,1
2015,5,8,0
2019,5,9,2
2012,6,29,1
2013,3,5,2
2013,11,316,1
2018,7,13,1
2019,4,5,1
2018,29,39,1
2012,7,23,2
2013,7,9,1
2019,24,28,0
2015,3,10,0
2019,8,10,2
2016,30,73,1
2019,80,97,1
2018,39,103,1
2019,7,7,1
2015,7,12,2
2015,13,27,0
2018,1,1,2
2017,1,1,0
2018,29,34,0
2018,11,15,1
2018,9,13,0
2018,2,2,2
2019,1,2,0
2016,1,3,0
2018,3,4,1
2018,1,1,1
2018,4,10,0
2019,12,14,0
2018,2,3,0
2019,10,11,0
2018,44,77,0
2018,38,70,1
2012,1,5,2
2016,5,21,2
2018,11,12,1
2019,5,5,0
2016,57,167,1
2018,20,36,2
2012,12,25,0
2018,1,1,1
2019,85,128,1
2018,3,7,0
2019,4,5,2
2019,2,2,0
2015,5,7,2
2016,10,28,2
2019,56,88,1
2016,74,286,1
2012,1,5,1
2019,3,4,1
2012,7,17,1
2015,22,43,0
2015,5,19,2
2014,7,13,1
2013,25,136,1
2019,22,24,0
2018,5,21,1
2018,15,21,0
2015,7,25,0
2012,30,121,0
2018,10,-1,0
2019,4,5,0
2018,20,37,0
2018,2,3,1
2019,10,14,0
2015,3,5,1
2012,88,408,0
2015,37,87,0
2016,2,4,0
2019,25,39,1
2018,14,15,1
2013,5,11,1
2018,1,918,1
2019,19,31,1
2013,14,35,1
2015,4,11,1
2015,3,3,0
2015,11,23,1
2018,4,6,2
2019,1,1,2
2019,29,40,0
2018,6,10,0
2019,7,11,0
2019,7,8,1
2012,8,56,0
2017,20,43,2
2012,13,56,2
2015,49,161,1
2018,47,82,1
2015,13,39,1
2018,20,25,0
2019,7,7,2
2013,15,42,2
2016,2,8,0
2015,14,34,0
2018,4,15,0
2018,8,14,1
2012,0,2,2
2012,11,24,2
2019,1,1,0
2019,20,27,1
2019,1,2,1
2019,7,8,1
2019,13,-1,1
2012,30,105,1
2017,114,191,2
2016,4,8,0
2019,9,10,2
2019,192,217,2
2018,9,11,2
2019,13,17,2
2012,5,6,2
2018,13,23,0
2012,12,25,1
2019,1,2,2
2016,3,3,1
2012,9,33,2
2014,13,25,2
2015,8,11,2
2019,7,7,0
2019,5,7,1
2013,14,18,0
2018,12,20,2
2012,35,122,1
2019,2,3,0
2016,0,2,0
2013,2,3,0
2019,3,3,1
2019,17,19,1
2018,8,20,1
2013,15,62,1
2018,4,15,0
2018,9,15,0
2018,50,96,1
2015,0,7,2
2017,35,88,1
2015,14,42,0
2014,4,5,1
2015,1,1,1
2016,9,17,0
2015,6,14,1
2018,58,120,1
2018,21,-1,0
2019,18,22,1
2018,33,69,1
2013,26,93,1
2018,3,4,1
2012,9,32,1
2012,3,14,1
2019,16,18,1
2012,15,58,2
2019,115,152,1
2018,3,5,0
2019,6,8,1
2019,16,22,1
2015,3,3,0
2017,10,18,0
2016,6,7,0
2012,14,62,2
2014,20,65,0
2015,2,2,2
2012,3,7,1
2012,3,10,0
2018,1,4,1
2018,6,8,1
2013,5,10,2
2019,36,53,1
2019,5,6,1
2018,2,3,0
2019,1,3,1
2018,21,39,1
2012,37,189,2
2016,7,18,0
2012,29,369,1
2013,21,65,0
2019,3,3,1
2014,4,14,0
2018,43,112,1
2015,10,16,1
2012,13,26,0
2016,44,165,0
2018,8,9,0
2018,19,32,0
2016,53,109,0
2018,53,94,2
2016,12,21,1
2019,10,14,1
2018,4,10,2
2015,0,2,1
2018,12,16,2
2019,7,7,2
2018,44,124,0
2019,56,64,1
2013,4,22,2
2019,6,6,1
2013,13,51,2
2015,6,9,0
2017,30,91,2
2016,16,51,0
2019,4,4,1
2018,12,14,2
2019,23,34,0
2015,4,4,0
2012,0,20,1
2015,12,29,0
2018,32,55,1
2018,11,30,0
2019,25,40,0
2019,4,6,2
2019,6,6,0
2019,5,5,1
2015,10,20,1
2015,4,10,0
2016,2,6,1
2016,9,15,1
2014,8,13,1
2016,16,46,2
2012,14,35,1
2017,9,11,1
2013,3,8,1
2018,5,5,1
2012,7,12,0
2012,18,25,0
2018,14,23,0
2018,48,86,1
2018,16,20,0
2015,3,11,0
2015,50,116,1
2015,20,55,0
2019,30,41,1
2019,9,13,1
2018,26,49,0
2019,1,3,0
2015,20,40,1
2015,261,708,0
2016,4,8,2
2019,10,12,1
2018,6,21,1
2018,6,6,2
2019,14,15,1
2019,38,46,1
2019,17,20,2
2015,14,42,1
2016,6,21,2
2015,15,31,1
2015,3,10,0
2016,3,27,0
2018,24,32,0
2016,11,18,0
2014,3,10,0
2018,16,17,0
2015,5,5,0
2015,2,4,0
2015,17,30,0
2019,3,4,0
2019,7,8,0
2018,26,35,0
2018,3,6,0
2018,2,4,0
2018,8,14,0
2018,22,32,0
2013,9,34,0
2018,13,16,0
2019,35,54,0
2012,2,36,0
2019,4,5,0
2012,8,19,0
2019,2,3,0
2019,29,33,0
2019,2,2,0
2018,35,65,0
2013,14,18,0
2018,13,18,0
2018,28,40,0
2018,3,3,0
2019,6,6,0
2018,34,94,0
2019,2,2,0
2018,5,12,0
2018,9,24,0
2018,15,18,0
2019,5,7,0
2019,12,25,0
2016,18,60,0
2016,10,39,0
2016,13,50,0
2016,16,26,0
2016,14,27,0
2015,32,348,0
2012,11,21,0
2018,15,24,0
2016,9,14,0
2012,24,93,0
2015,73,251,0
2014,68,298,0
2012,91,755,0
2016,221,488,0
2013,10,33,0
2015,76,222,0
2018,21,42,0
2013,9,29,0
2013,5,10,0
2013,5,13,0
2015,1,5,0
2019,11,13,0
2018,4,5,0
2012,1,1,0
2012,18,46,0
2018,51,85,0
2018,12,16,0
2018,62,93,0
2019,3,3,0
2019,13,15,0
2015,6,13,0
2016,13,42,0
2012,13,40,0
2015,5,17,0
2017,19,29,0
2016,3,9,0
2012,3,20,0
2019,11,12,0
2017,2,2,0
2018,4,5,0
2019,16,21,0
2019,4,4,0
2015,9,11,0
2012,5,18,0
2015,20,40,0
2019,3,4,0
2018,8,13,0
2018,9,14,0
2018,9,14,0
2018,14,25,0
2018,12,15,0
2013,11,19,0
2019,1,1,0
2012,4,14,0
2012,0,1,0
2018,0,1,0
2019,4,4,0
2019,3,3,0
2013,22,92,0
2015,5,12,0
2018,37,57,0
2018,1,2,0
2013,7,29,0
2018,25,37,0
2019,8,9,0
2013,2,3,0
2019,5,6,0
2013,13,27,0
2018,8,11,0
2018,38,63,0
2012,2,11,0
2018,12,18,0
